,k,l,flip and rotation,brightness
551,2,5,0,246.69335937500023
552,2,5,0,407.6699218750001
553,2,4,0,3.7939453125
554,2,3,0,-0.30908203125
555,2,3,0,1.76904296875
556,1,3,0,-18.736328125
557,2,3,0,-17.22314453125
558,2,1,0,9.415039062500124
559,0,0,0,2.424804687500135
560,5,2,0,-13.594238281249858
561,1,3,0,10.052734375
562,4,1,0,3.176757812499858
563,5,4,0,-0.943847656249801
564,3,5,0,6.196289062500199
565,2,3,0,25.62060546875
566,1,4,0,-38.855468750000256
567,2,5,0,298.3652343750002
568,2,5,0,454.02929687500006
569,2,5,0,483.5839843750001
570,3,4,0,-6.7978515625
571,5,4,0,4.501464843750167
572,2,5,0,86.99023437500028
573,1,0,0,-3.8955078125001386
574,0,4,0,-1.16943359375
575,1,4,0,-13.582031250000245
576,5,2,0,-1.820800781249858
577,3,4,0,-20.7353515625
578,0,4,0,-0.30224609375
579,4,4,0,-15.322753906250057
580,3,5,0,-5.389648437499801
581,1,3,0,-16.197265625
582,2,5,0,44.052734375000256
583,2,5,0,193.77148437500028
584,2,5,0,280.6542968750002
585,2,5,0,362.3808593750001
586,2,5,0,286.56054687500017
587,2,5,0,344.98242187500017
588,2,5,0,430.0292968750001
589,4,2,0,0.9243164062501297
590,3,4,0,-3.5947265625
591,2,5,0,7.060546875000242
592,4,3,0,3.378417968750142
593,3,4,0,-11.9931640625
594,0,2,0,3.5595703125
595,4,4,0,-7.596191406250043
596,2,3,0,17.33935546875
597,1,3,0,15.451171875
598,2,4,0,24.1689453125
599,1,4,0,-16.433593750000252
600,2,4,0,32.7158203125
601,2,5,0,222.65429687500023
602,2,5,0,394.5371093750001
603,2,5,0,245.63085937500017
604,3,4,0,-20.9541015625
605,0,0,0,2.6435546875001137
606,2,5,0,30.68554687500024
607,2,5,0,8.123046875000242
608,0,5,0,1.17138671875
609,3,4,0,-1.3837890625
610,0,2,0,1.0439453125
611,0,5,0,-2.12548828125
612,2,4,0,-3.7138671875
613,1,3,0,-23.541015625
614,4,4,0,-12.55712890625009
615,3,5,0,0.2900390625001954
616,2,5,0,126.64648437500026
617,2,5,0,286.0761718750002
618,2,5,0,88.40429687500018
619,1,3,0,7.201171875
620,2,1,0,12.438476562500123
621,3,4,0,-19.4697265625
622,2,5,0,46.40429687500024
623,2,5,0,27.40429687500024
624,4,3,0,0.01904296875014211
625,2,4,0,-2.6904296875
626,5,2,0,-9.664550781249858
627,5,4,0,-1.451660156249801
628,2,3,0,-3.44970703125
629,5,4,0,-8.662597656249805
630,4,3,0,3.417480468750142
631,2,5,0,0.89648437500027
632,2,5,0,50.92773437500027
633,2,5,0,211.51367187500023
634,2,5,0,115.88867187500014
635,0,0,0,4.135742187500107
636,3,3,0,-0.9423828124999147
637,1,4,0,0.7695312499997566
638,2,5,0,22.74804687500024
639,2,5,0,11.623046875000242
640,3,2,0,0.41455078125
641,2,4,0,8.5439453125
642,5,1,0,9.827148437500096
643,1,3,0,-16.595703125
644,2,3,0,18.89404296875
645,3,5,0,5.368164062500142
646,2,3,0,-13.22314453125
647,1,4,0,-41.824218750000256
648,3,4,0,-14.4775390625
